objectid,parentid,title,archival_call_number,archival_collection,finding_aid_ark,contributing_institution,contributing_institution_valueURI,creator,personal_creator,corporate_creator,corporate_creator_valueURI,description,language,location,geographic_subject_fast,geographic_subject_fast_valueURI,subject,topical_subject_fast_valueURI,subject,topical_subject_local,personal_name_subject,corporate_name_subject,corporate_name_subject_valueURI,chronological_subject,extent,aat_genre,aat_genre_valueURI,dcmi_type,dcmi_type_valueURI,type_of_resource,imt_type,rights_management,rights_management_valueURI,date,date_original,date_digital,ark,local_id,digital_collection,digital_collection_ark,hardware_software,resolution,colorspace,samples_per_pixel,height,digital_origin,preservation_file_name,identifier,format,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,object_ocr,pdf_download
jacktrice_25,,"Jack Trice ""Last Letter,"" October 5, 1923",RS 21/07/023,Jack Trice papers,https://n2t.net/ark:/87292/w97r5z,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Trice, Jack, 1902-1923","Trice, Jack, 1902-1923",,,"Letter written October 5, 1923, by Jack Trice, football player and the first African American athlete at Iowa State, the night before playing his last football game against the University of Minnesota. Trice died on October 8 from injuries sustained in the game.",eng,Minnesota--Minneapolis,Minnesota--Minneapolis,http://id.worldcat.org/fast/1204260,Alumni and alumnae;Football,http://id.worldcat.org/fast/1198533;http://id.worldcat.org/fast/931362,,,"Trice, Jack, 1902-1923",Iowa State College,http://id.loc.gov/authorities/names/n82049648,1920s,2 pages,correspondence,http://vocab.getty.edu/aat/300026877,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923-10-05,1923-10-05,2007-04-11,https://n2t.net/ark:/87292/w9261c,jacktrice_25,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.4,,,,,reformatted digital,,,,multiple,/objects/21-07-023_trice_01-08-01-01.jpg,/objects/small/21-07-023_trice_01-08-01-01_sm.jpg,/objects/thumbs/21-07-023_trice_01-08-01-01_th.jpg,,/objects/transcripts/i-will.md,,/objects/pdf/21-07-023_Trice_01-08-01.pdf
jacktrice_23,JackTrice_25,Front,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,eng,,,,,,,,,,,,1 page,,,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923-10-05,1923-10-05,2007-04-11,,jacktrice_23,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.5,RGB,8,5007,3310,reformatted digital,21-07-023_Trice_01-08-01-01.tif,21-07-023_trice_01-08-01-01,image/jpeg,image,/objects/21-07-023_trice_01-08-01-01.jpg,/objects/small/21-07-023_trice_01-08-01-01_sm.jpg,/objects/thumbs/21-07-023_trice_01-08-01-01_th.jpg,,,/objects/ocr/i-will-01.txt,
jacktrice_24,JackTrice_25,Back,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,eng,,,,,,,,,,,,1 page,,,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923-10-05,1923-10-05,2007-04-11,,jacktrice_24,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.6,RGB,8,5007,3310,reformatted digital,21-07-023_Trice_01-08-01-02.tif,21-07-023_trice_01-08-01-02,image/jpeg,image,/objects/21-07-023_trice_01-08-01-02.jpg,/objects/small/21-07-023_trice_01-08-01-02_sm.jpg,/objects/thumbs/21-07-023_trice_01-08-01-02_th.jpg,,,/objects/ocr/i-will-02.txt,
jacktrice_30,,"Cora Mae Trice Greene letter to David Lendt, August 3, 1988",RS 21/07/023,Jack Trice papers,https://n2t.net/ark:/87292/w97r5z,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Greene, Cora Mae Trice","Greene, Cora Mae Trice",,,"Letters from Cora Mae Trice Greene, Jack Trice's widow (later remarried to Horace Greene), to David Lendt, Director of Information at Iowa State University. In the first letter, Greene thanks Lendt for the information sent to her family regarding the dedication of memorials on campus to Jack Trice. She also shares her memories of the days surrounding Trice's death in 1923. In the second letter, Greene grants permission to place her letters and other documents pertaining to Trice in the archives of the Iowa State University Department of Special Collections.",eng,Iowa--Ames,Iowa--Ames,http://id.worldcat.org/fast/1207548,Alumni and alumnae;Football;Memorials,http://id.worldcat.org/fast/1198533;http://id.worldcat.org/fast/931362;http://id.worldcat.org/fast/1015903,,,"Trice, Jack, 1902-1923;Greene, Cora Mae Trice;Armstrong, Betty;Lendt, David",Iowa State University,http://id.loc.gov/authorities/names/n81041658,1920s;1980s,4 pages,correspondence,http://vocab.getty.edu/aat/300026877,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1988-08-03,1988-08-03,2013-08-01,https://n2t.net/ark:/87292/w9dc8v,jacktrice_30,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Dell OptiPlex 755; Windows 7 Enterprise; Epson GT-2500; Epson Scan ver. 3.49A,,,,,reformatted digital,,,,multiple,/objects/21-07-023_trice_01-06-02-01.jpg,/objects/small/21-07-023_trice_01-06-02-01_sm.jpg,/objects/thumbs/21-07-023_trice_01-06-02-01_th.jpg,,/objects/transcripts/cora-letter.md,,/objects/pdf/21-07-023_Trice_01-06-02.pdf
jacktrice_26,JackTrice_30,Page 1,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,eng,,,,,,,,,,,,1 page,,,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1988-08-03,1988-08-03,2013-08-01,,jacktrice_26,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Dell OptiPlex 755; Windows 7 Enterprise; Epson GT-2500; Epson Scan ver. 3.49A,RGB,8,6342,4486,reformatted digital,21-07-023_Trice_01-06-02-01.tif,21-07-023_trice_01-06-02-01,image/jpeg,image,/objects/21-07-023_trice_01-06-02-01.jpg,/objects/small/21-07-023_trice_01-06-02-01_sm.jpg,/objects/thumbs/21-07-023_trice_01-06-02-01_th.jpg,,,,
jacktrice_27,JackTrice_30,Page 2,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,eng,,,,,,,,,,,,1 page,,,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1988-08-03,1988-08-03,2013-08-01,,jacktrice_27,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Dell OptiPlex 755; Windows 7 Enterprise; Epson GT-2500; Epson Scan ver. 3.49A,RGB,8,6373,4457,reformatted digital,21-07-023_Trice_01-06-02-02.tif,21-07-023_trice_01-06-02-02,image/jpeg,image,/objects/21-07-023_trice_01-06-02-02.jpg,/objects/small/21-07-023_trice_01-06-02-02_sm.jpg,/objects/thumbs/21-07-023_trice_01-06-02-02_th.jpg,,,,
jacktrice_28,JackTrice_30,Page 3,,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,eng,,,,,,,,,,,,1 page,,,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1988-08-03,1988-08-03,2013-08-01,,jacktrice_28,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Dell OptiPlex 755; Windows 7 Enterprise; Epson GT-2500; Epson Scan ver. 3.49A,RGB,8,6384,4454,reformatted digital,21-07-023_Trice_01-06-02-03.tif,21-07-023_trice_01-06-02-03,image/jpeg,image,/objects/21-07-023_trice_01-06-02-03.jpg,/objects/small/21-07-023_trice_01-06-02-03_sm.jpg,/objects/thumbs/21-07-023_trice_01-06-02-03_th.jpg,,,,
jacktrice_29,,"Cora Mae Trice Greene letter to David Lendt, August 24, 1988",,,,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,,eng,,,,,,,,,,,,1 page,,,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1988-08-03,1988-08-03,2013-08-01,,jacktrice_29,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Dell OptiPlex 755; Windows 7 Enterprise; Epson GT-2500; Epson Scan ver. 3.49A,RGB,8,6432,4414,reformatted digital,21-07-023_Trice_01-06-02-04.tif,21-07-023_trice_01-06-02-04,image/jpeg,image,/objects/21-07-023_trice_01-06-02-04.jpg,/objects/small/21-07-023_trice_01-06-02-04_sm.jpg,/objects/thumbs/21-07-023_trice_01-06-02-04_th.jpg,,,/objects/ocr/cora-letter.txt,
jacktrice_31,,"Chester L. Brewer letter to Samuel W. Beyer regarding football game at University of Missouri, October 8, 1923",RS 21/07/023,Jack Trice papers,https://n2t.net/ark:/87292/w97r5z,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Brewer, Chester L., 1875-1953","Brewer, Chester L., 1875-1953",,,"Letter written October 8, 1923, by Chester L. Brewer, Director of Athletics at the University of Missouri at Columbia, informing Samuel W. Beyer, a dean at Iowa State and the college's ""godfather"" of athletics, that he would not permit the racially integrated Iowa State team to play football at Missouri.",eng,Missouri,Missouri,http://id.worldcat.org/fast/1204724,Football;Racism in sports,http://id.worldcat.org/fast/931362;http://id.worldcat.org/fast/1086664,,,"Trice, Jack, 1902-1923;Brewer, Chester L., 1875-1953;Beyer, Samuel W.",Iowa State College;University of Missouri--Columbia,http://id.loc.gov/authorities/names/n82049648;http://id.loc.gov/authorities/names/n80126275,1920s,1 page,correspondence,http://vocab.getty.edu/aat/300026877,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923-10-08,1923-10-08,2009-04-14,https://n2t.net/ark:/87292/w98p7b,jacktrice_31,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.4,RGB,8,6470,5022,reformatted digital,21-07-023_Trice_01-24-01.tif,21-07-023_trice_01-24-01,image/jpeg,image,/objects/21-07-023_trice_01-24-01.jpg,/objects/small/21-07-023_trice_01-24-01_sm.jpg,/objects/thumbs/21-07-023_trice_01-24-01_th.jpg,,,,
jacktrice_32,,Jack Trice,RS 21/07/A,University Photographs,https://n2t.net/ark:/87292/w9cv4bz30,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,,,Photograph of Jack Trice in winter.,zxx,Iowa--Ames,Iowa--Ames,http://id.worldcat.org/fast/1207548,African Americans;Black people;Alumni and alumnae;College athletes;Football,http://id.worldcat.org/fast/799558;http://id.worldcat.org/fast/833880;http://id.worldcat.org/fast/1198533;http://id.worldcat.org/fast/867688;http://id.worldcat.org/fast/931362,,,"Trice, Jack, 1902-1923",Iowa State College,http://id.loc.gov/authorities/names/n82049648,1920s,1 photograph,photographs,http://vocab.getty.edu/aat/300046300,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1920/1929,1920/1929,2009-09-17,https://n2t.net/ark:/87292/w94w5d,jacktrice_32,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.4,RGB,8,5695,4528,reformatted digital,21-07-A_Trice_1578-01-02.tif,21-07-a_trice_1578-01-02,image/jpeg,image,/objects/21-07-a_trice_1578-01-02.jpg,/objects/small/21-07-a_trice_1578-01-02_sm.jpg,/objects/thumbs/21-07-a_trice_1578-01-02_th.jpg,,,,
jacktrice_33,,"Memorial to Jack Trice, 1924",RS 21/07/A,University Photographs,https://n2t.net/ark:/87292/w9cv4bz30,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,,,Iowa State University,http://id.loc.gov/authorities/names/n81041658,"Jack Trice memorial tablet in State Gymnasium at Iowa State University, the beginning of which reads: ""In memory of Jack Trice who died October 8, 1923, of injuries received in the Ames-Minnesota football game.""",zxx,Iowa--Ames,Iowa--Ames,http://id.worldcat.org/fast/1207548,Alumni and alumnae;Football;Memorials,http://id.worldcat.org/fast/1198533;http://id.worldcat.org/fast/931362;http://id.worldcat.org/fast/1015903,State Gymnasium,State Gymnasium,"Trice, Jack, 1902-1923",Iowa State College,http://id.loc.gov/authorities/names/n82049648,1920s,1 photograph,photographs;commemorative plaques,http://vocab.getty.edu/aat/300046300;https://vocab.getty.edu/aat/300411443,Image,http://purl.org/dc/dcmitype/Image,still image,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1924,1924,2009-09-17,https://n2t.net/ark:/87292/w9162f,jacktrice_33,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.4,RGB,8,5675,4448,reformatted digital,21-07-A_Trice_1578-01-03.tif,21-07-a_trice_1578-01-03,image/jpeg,image,/objects/21-07-a_trice_1578-01-03.jpg,/objects/small/21-07-a_trice_1578-01-03_sm.jpg,/objects/thumbs/21-07-a_trice_1578-01-03_th.jpg,,,,
jacktrice_34,,"Samuel W. Beyer letter to Chester L. Brewer regarding Trice's death, October 10, 1923",RS 21/07/023,Jack Trice papers,https://n2t.net/ark:/87292/w97r5z,Iowa State University. Special Collections and University Archives,http://id.loc.gov/authorities/names/no2021021777,"Beyer, Samuel W.","Beyer, Samuel W.",,,"Letter from Samuel W. Beyer, a dean at Iowa State College and the school's so-called ""godfather"" of athletics, informing Chester L. Brewer, athletic director at the University of Missouri, of the death of Jack Trice, the first African American football player for Iowa State. Beyer acknowledges the racial segregation agreement among teams in several states and claims that Iowa State did not plan to have Trice play in the upcoming game against Missouri. Beyer also states that he has enclosed a copy of a letter, known as Trice's ""last letter,"" written the night before the game that caused Trice's fatal injuries.",eng,Missouri,Missouri,http://id.worldcat.org/fast/1204724,Football;Racism in sports,http://id.worldcat.org/fast/931362;http://id.worldcat.org/fast/1086664,,,"Trice, Jack, 1902-1923;Brewer, Chester L., 1875-1953;Beyer, Samuel W.",Iowa State College;University of Missouri--Columbia,http://id.loc.gov/authorities/names/n82049648;http://id.loc.gov/authorities/names/n80126275,1920s,1 page,correspondence,http://vocab.getty.edu/aat/300026877,Text,http://purl.org/dc/dcmitype/Text,text,image/tiff,"This item is protected by copyright and related rights. You are free to use this item in any way that is permitted by the copyright and related rights legislation that applies to your use. No permission is required for noncommercial uses. For other uses, please obtain permission from Iowa State University Library Special Collections and University Archives.",http://rightsstatements.org/vocab/InC-NC/1.0/,1923-10-10,1923-10-10,2009-04-14,https://n2t.net/ark:/87292/w9wd0h,jacktrice_34,Jack Trice,https://n2t.net/ark:/87292/w9n872z9b,Manager's Power Mac G5; Mac OS X; Creo iQsmart3; Kodak oXYgen Scan ver 2.6.4,RGB,8,6517,5129,reformatted digital,21-07-023_Trice_01-24-02.tif,21-07-023_trice_01-24-02,image/jpeg,image,/objects/21-07-023_trice_01-24-02.jpg,/objects/small/21-07-023_trice_01-24-02_sm.jpg,/objects/thumbs/21-07-023_trice_01-24-02_th.jpg,,,,
